domain,username,display_name,rid,account_type,dept,password,pw_length,nt_hash,lm_hash,has_lm,disabled,never_expires,cluster,pre2k,pw_category
CRKB,Administrator,Built-in Administrator,500,user,,CrackBabyAdmin2019!,19,73fbbfe323317c9fa3dc40e5da5b5f53,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,known
CRKB,Guest,Built-in Guest,501,user,,,0,31d6cfe0d16ae931b73c59d7e0c089c0,aad3b435b51404eeaad3b435b51404ee,False,True,False,,False,empty
CRKB,krbtgt,KDC Service Account,502,user,,d6497748dc97148ff3d8e0d60f08819bf6e72017e045abaf3a94de920a3011cc,64,13ea68701b3598904d6f81d64bb32537,aad3b435b51404eeaad3b435b51404ee,False,True,False,,False,krbtgt
CRKB,svc_sql,,1000,service,,CrkbSql2021!,12,9f5974d71017b4b50cdbe2efa62dc8dc,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_org
CRKB,svc_backup,,1001,service,,BackupCrkb2022!,15,00d752fb16827d3aadb25a752d22b78d,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_org
CRKB,svc_deploy,,1002,service,,DeployService2022!,18,c96679e87bf8762e6543dbf95e1e1cca,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_scan,,1003,service,,ScannerSvc2020!,15,15e1599ef9c29e1193519ce9a6149ab1,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_monitor,,1004,service,,MonitorSvc2021!,15,664a4b565b9e22736c9e000082ad2599,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_exchange,,1005,service,,ExchangeService19!,18,5c1597a8a565e072412615d7fc660142,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_sharepoint,,1006,service,,SharepointSvc22!,16,a09bfdb39895dce5156e8a7eeda19bea,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_jenkins,,1007,service,,JenkinsService21!,17,edf2cb3a38ed9a1b2eb5eb032278b4bd,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_ansible,,1008,service,,AnsibleSvc2022!,15,d4b686cd1788300e787f6c4bb864a979,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_splunk,,1009,service,,SplunkService20!,16,09f202bded1abac255d7d09e72abfcab,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_vmware,,1010,service,,VmwareSvc2019!,14,d76555c6d29a48f8f15e33c6e4989c11,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_citrix,,1011,service,,CitrixService21!,16,38fa85f7925723bacd0c8c32f7e11654,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_print,,1012,service,,PrintService123!,16,a2444239116f16a3a1c152986abfcd19,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_smtp,,1013,service,,SmtpService2020!,16,f61e79a2aebd89968690dfc8229436d0,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_role
CRKB,svc_ftp,,1014,service,,Password2020!,13,528879f4fd6625997735620c6aa50585,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_weak
CRKB,svc_web,,1015,service,,Welcome2022!,12,76550f99978dfb042fe95f3a73dff62a,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_weak
CRKB,svc_ldap,,1016,service,,Service2019!,12,3254edbb063e8cc08724354801e6332e,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_weak
CRKB,svc_api,,1017,service,,S3rvice@pi2021!,15,0de75e7d40c164033ec607cd39e0bf14,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_leet
CRKB,svc_nessus,,1018,service,,Sc@nnerSvc2022!,15,c925fbb0b984d74e9171e976c5af366c,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_leet
CRKB,svc_gitlab,,1019,service,,G1tl@bService22!,16,c0927287b171a95457337cc98491a545,aad3b435b51404eeaad3b435b51404ee,False,False,True,,False,svc_leet
CRKB,admin,,1020,user,IT,Admin2023!,10,11ec6f40f7bce47ccba2b9c9b578c8fb,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,weak
CRKB,helpdesk,,1021,user,Support,Austin2023!,11,ba7fb88b674dfe881ab340674284d5c2,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,org
CRKB,support,,1022,user,Support,CrackBaby2022!,14,b2964ae22b6bc0f878bbd99bccc71cb5,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,org
CRKB,sysadmin,,1023,user,IT,Sysadmin2022!,13,cf0746d46e9f759c2a1b812efffff893,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,weak
CRKB,netadmin,,1024,user,IT,TexasNet2023!,13,dd6ebfd4d5005c7fbc425f849a95c1f8,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,org
CRKB,dbadmin,,1025,user,IT,DbAdmin2021!,12,a7b42548c8f2ee0515b212d5fd1ae7d1,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,weak
CRKB,backup,,1026,user,IT,Backup2020!,11,91a7ce543d1ae836fa7c5e7f44ad1d60,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,weak
CRKB,audit,,1027,user,Finance,AuditCrkb2022!,14,9ecdb9661439ecfa79f9854b26d406d6,aad3b435b51404eeaad3b435b51404ee,False,False,False,,False,org
CRKB,cwilson,Charlotte Wilson,1028,user,Legal,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,storres,Susan Torres,1029,user,Sales,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,cyoung,Carter Young,1030,user,Support,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,rjimenez,Robert Jimenez,1031,user,Security,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,cmorris,Carolyn Morris,1032,user,Engineering,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,hgonzalez,Hannah Gonzalez,1033,user,Procurement,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,blopez,Betty Lopez,1034,user,HR,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,cnguyen,Camila Nguyen,1035,user,Managed Services,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,srivera,Sophia Rivera,1036,user,Finance,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,dking,Donna King,1037,user,Security,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,ljohnson,Larry Johnson,1038,user,Security,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,madams,Mark Adams,1039,user,Accounting,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,bsimmons,Benjamin Simmons,1040,user,Security,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,mcastillo,Melissa Castillo,1041,user,Managed Services,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,hyoung,Hannah Young,1042,user,Helpdesk,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,jreynolds,Jeffrey Reynolds,1043,user,IT,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
CRKB,lsmith,Lucia Smith,1044,user,Managed Services,CrackBaby2023!,14,0e5b17bf8ec8e18850bd1a17c7ec3454,aad3b435b51404eeaad3b435b51404ee,False,False,False,cluster1,False,org
